variable,unit,test,control,diff
OCNFRAC,fraction,0.666,0.664,0.002
SST,K,292.29,292.099,0.191
TS,K,287.671,287.351,0.32
SWCF,W/m2,-47.195,-47.473,0.278
LWCF,W/m2,24.594,24.61,-0.016
PRECT,m/s,3.52e-08,3.49e-08,3e-10
TAUX,N/m2,-0.00623,-0.00605,-0.00018
TAUY,N/m2,-0.00204,-0.00189,-0.00015
TGCLDLWP,kg/m2,0.0511,0.0515,-0.0004
